"city_id","city_jjk","longitude","latitude","towns_rhine"
302,"MEULEBEKE",3.28637,50.9506,0
303,"MONS",3.95666,50.4542,0
304,"NAMUR",4.87199,50.4674,0
305,"NIEUWPOORT",2.74802,51.1285,0
306,"NIVELLES",4.32851,50.5979,0
307,"OOSTENDE",2.9,51.2167,0
308,"OUDENAARDE",3.60137,50.847,0
309,"PERUWELZ",3.59367,50.5106,0
310,"POPERINGE",2.72679,50.855,0
311,"ROESELARE",3.12945,50.9499,0
312,"RONSE",3.60051,50.7505,0
313,"RUISELEDE",3.39705,51.0413,0
314,"SOIGNIES",4.07069,50.5764,0
315,"SPA",5.86432,50.4924,0
316,"ST-NIKLAAS",4.15444,51.1559,0
317,"ST-TRUIDEN",5.18625,50.8157,0
318,"TEMSE",4.21275,51.1296,0
319,"THUIN",4.28733,50.3408,0
320,"TIELT",4.9047,50.9409,0
321,"TIENEN",4.93622,50.8106,0
322,"TONGEREN",5.47449,50.7842,0
323,"TORHOUT",3.10157,51.065,0
324,"TOURNAI",3.38793,50.6056,0
325,"TURNHOUT",4.93756,51.3217,0
326,"VERVIERS",5.8656,50.5911,0
327,"VEURNE",2.66803,51.0732,0
328,"WAREGEM",3.42317,50.8869,0
329,"WAVRE",4.61281,50.7159,0
330,"WETTEREN",3.88967,51.0029,0
331,"WINGENE",3.2748,51.0587,0
332,"ZELE",4.04035,51.0701,0
333,"ZOMERGEM",3.56445,51.1193,0
334,"ZOUTLEEUW",5.10442,50.8323,0
357,"AALBORG",9.92175,57.0488,0
358,"AARHUS",10.2039,56.1629,0
359,"HELSINGOR",12.5921,56.0308,0
360,"KOBENHAVN",12.5683,55.6761,0
361,"ODENSE",10.4024,55.4038,0
362,"RANDERS",10.0365,56.4606,0
363,"RIBE",8.77467,55.3269,0
364,"ROSKILDE",12.0878,55.6419,0
365,"SVENDBORG",10.6073,55.0674,0
366,"VIBORG",9.39635,56.452,0
367,"ADRA",-3.01761,36.7502,0
368,"AGREDA",-1.92025,41.8535,0
369,"AGUILAR",-4.65666,37.5138,0
370,"AGUILAS",-1.58277,37.4118,0
371,"ALAEJOS",-5.21753,41.307,0
372,"ALBA",-1.34572,40.618,0
373,"ALBACETE",-1.85854,38.9943,0
374,"ALBUQUERQUE",-7,39.2167,0
375,"ALCALA-DE-HENARES",-3.36354,40.482,0
376,"ALCALA-LA-REAL",-3.92196,37.4661,0
377,"ALCANIZ",-0.133537,41.051,0
378,"ALCARAZ",-2.49071,38.6665,0
379,"ALCAZAR-DE-SAN-JUAN",-3.2101,39.3901,0
380,"ALCIRA",-0.433364,39.1512,0
381,"ALCOY",-0.478538,38.699,0
382,"ALFARO",-1.74766,42.1769,0
383,"ALGECIRAS",-5.45391,36.133,0
384,"ALICANTE",-0.490686,38.346,0
385,"ALLARIZ",-7.80055,42.1895,0
386,"ALMAGRO",-3.70896,38.8862,0
387,"ALMANSA",-1.09962,38.866,0
388,"ALMENDRALEJO",-6.4073,38.6814,0
389,"ALMERIA",-2.46371,36.834,0
390,"ALMODOVAR",-4.17569,38.7083,0
391,"ALTEA",-0.047726,38.6006,0
392,"ANDUJAR",-4.05491,38.0405,0
393,"ANTEQUERA",-4.55937,37.02,0
394,"ARACENA",-6.56189,37.8935,0
395,"ARANDA-DE-DUERO",-3.68964,41.6738,0
396,"ARCHINODA",-4.3833,37.1,0
397,"ARCOS-DE-LA-FRONTERA",-5.80983,36.7547,0
398,"AREVALO",-4.71874,41.059,0
399,"ARJONA",-4.06177,37.9357,0
400,"ASPE",-0.765591,38.3463,0
401,"ASTORGA",-6.05325,42.4549,0
402,"AVILA",-4.69582,40.6626,0
403,"AZUAGA",-5.67781,38.2589,0
404,"BADAJOZ",-6.97065,38.8794,0
405,"BADALONA",2.24503,41.447,0
406,"BAENA",-4.3266,37.6136,0
407,"BAEZA",-3.46932,37.9979,0
408,"BARBASTRO",0.12844,42.036,0
409,"BARCELONA",2.1734,41.3851,0
410,"BAZA",-2.77697,37.4895,0
411,"BECERRIL",-4.64144,42.1109,0
412,"BEJAR",-5.76888,40.3886,0
413,"BERJA",-2.94628,36.8484,0
414,"BILBAO",-2.93499,43.263,0
415,"BROZAS",-6.77579,39.6129,0
416,"BUENDIA",-2.75683,40.3667,0
417,"BUJALANCE",-4.37829,37.8924,0
418,"BURGOS",-3.69691,42.344,0
419,"BURRIANA",-0.0842113,39.8896,0
420,"CABRA",-4.43493,37.4718,0
421,"CACERES",-6.37242,39.4753,0
422,"CADIZ",-6.2886,36.5271,0
423,"CALAHORRA",-1.96731,42.3074,0
424,"CALATAYUD",-1.64249,41.353,0
425,"CALLOSA-DE-SEGURA",-0.87664,38.1199,0
426,"CAMPO-DE-CRIPTANA",-3.12446,39.3994,0
427,"CANGAS-DE-ONIS",-5.13101,43.3506,0
428,"CARAVACA",-1.86092,38.1042,0
429,"CARCAGENTE",-0.421944,39.1016,0
430,"CARMONA",-5.64182,37.4713,0
431,"CARTAGENA",-0.996584,37.6257,0
432,"CASPE",-0.042955,41.2356,0
433,"CASTELLON-DE-LA-PLANA",-0.0449499,39.9845,0
434,"CAZORLA",-3.00381,37.9125,0
435,"CERVERA",1.27274,41.6727,0
436,"CHINCHON",-3.42217,40.1403,0
437,"CIEMPOZUELOS",-3.62283,40.1573,0
438,"CIEZA",-1.42301,38.2397,0
439,"CIUDAD-REAL",-3.92738,38.9848,0
440,"CIUDAD-RODRIGO",-6.53131,40.6021,0
441,"COLMENAR-DE-OREJA",-3.39055,40.1073,0
442,"COLMENAR-VIEJO",-3.77105,40.6626,0
443,"CONSTANTINA",-5.62017,37.8717,0
444,"CONSUEGRA",-3.6083,39.4596,0
445,"CORDOBA",-4.77938,37.8882,0
446,"CORRAL",-3.16223,39.7595,0
447,"CREVILLENTE",-0.80505,38.2485,0
448,"CUENCA",-2.13672,40.0705,0
449,"CULLERA",-0.25379,39.1632,0
450,"DAIMIEL",-3.61285,39.0695,0
451,"DALIAS",-2.87143,36.8214,0
452,"DON-BENITO",-5.8619,38.9545,0
453,"ECIJA",-5.08267,37.5415,0
454,"ELCHE",-0.712561,38.2699,0
455,"ELVIRA",-4.78361,36.5025,0
456,"ESTEPA",-4.8778,37.2895,0
457,"FELANITX",3.1483,39.4697,0
458,"FERROL",-8.21935,43.4896,0
459,"FIGUERAS",2.96127,42.2664,0
460,"FRAGA",0.340717,41.522,0
461,"FUENTE-DEL-MAESTRE",-6.44604,38.5312,0
462,"FUENTE-EL-SAUCO",-3.13987,40.4453,0
463,"FUENTES-DE-ANDALUCIA",-5.34406,37.4633,0
464,"GANDIA",-0.184467,38.968,0
465,"GERONA",2.82143,41.9794,0
466,"GETAFE",-3.73239,40.3083,0
467,"GIBRALTAR",-5.35358,36.1408,0
468,"GIJON",-5.66112,43.5322,0
469,"GRANADA",-3.59856,37.1773,0
470,"GUADALAJARA",-3.16221,40.6312,0
471,"GUADIX",-3.14033,37.3011,0
472,"HELLIN",-1.69892,38.5096,0
473,"HINOJOSA-DEL-DUQUE",-5.14244,38.5008,0
474,"HORNACHOS",-6.06794,38.553,0
475,"HUELVA",-6.94472,37.2614,0
476,"HUERCAL-OVERA",-1.94333,37.3894,0
477,"HUESCA",-0.410621,42.1373,0
478,"HUETE",-2.68972,40.1435,0
479,"IGUALADA",1.61712,41.5839,0
480,"JACA",-0.547055,42.5717,0
481,"JAEN",-3.78491,37.7796,0
482,"JATIVA",-0.523547,38.99,0
483,"JAVEA",0.166081,38.789,0
484,"JEREZ-DE-LA-FRONTERA",-6.13243,36.6936,0
485,"JEREZ-DE-LOS-CABALLEROS",-6.7747,38.3212,0
486,"JUMILLA",-1.32416,38.4794,0
487,"LACORUNA",-8.41154,43.3623,0
488,"LEBRIJA",-6.07347,36.923,0
489,"LEON",-5.5671,42.5987,0
490,"LERIDA",0.620015,41.6176,0
491,"LILLO",-3.30254,39.719,0
492,"LINARES",-3.62959,38.0981,0
493,"LIRIA",-0.658333,39.7119,0
494,"LLERENA",-6.01108,38.2439,0
495,"LLUMMAYOR",2.89167,39.4908,0
496,"LOGRONO",-2.44499,42.4627,0
497,"LOJA",-4.14907,37.1662,0
498,"LORA-DEL-RIO",-5.52987,37.6576,0
499,"LORCA",-1.69684,37.6736,0
500,"LUCENA",-4.48532,37.4056,0
501,"LUGO",-7.55676,43.0097,0
502,"MADRID",-3.70379,40.4168,0
503,"MAHON",4.25962,39.8873,0
504,"MALAGA",-4.42127,36.7213,0
505,"MANACOR",3.20953,39.5697,0
506,"MANRESA",1.82252,41.7293,0
507,"MANZANARES",-3.37421,38.9958,0
508,"MARCHENA",-5.41467,37.3274,0
509,"MARTOS",-3.96884,37.7221,0
510,"MATARO",2.44474,41.5381,0
511,"MEDINA-DE-RIO-SECO",-5.04138,41.8842,0
512,"MEDINA-DEL-CAMPO",-4.91548,41.3082,0
513,"MEMBRILLA",-3.34614,38.9726,0
514,"MERIDA",-6.34223,38.9143,0
515,"MONDEJAR",-3.10833,40.3239,0
516,"MONDONEDO",-7.36385,43.4286,0
517,"MONFORTE-DE-LEMOS",-7.51581,42.519,0
518,"MONOVAR",-0.838496,38.4339,0
519,"MONTEFRIO",-4.00513,37.3209,0
520,"MONTILLA",-4.63897,37.5868,0
521,"MONTORO",-4.3835,38.0227,0
